areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E06000023,"Bristol, City of",ltla,2021-10-02,69.9
E06000023,"Bristol, City of",ltla,2021-10-01,69.8
E06000023,"Bristol, City of",ltla,2021-09-30,69.7
E06000023,"Bristol, City of",ltla,2021-09-29,69.7
E06000023,"Bristol, City of",ltla,2021-09-28,69.6
E06000023,"Bristol, City of",ltla,2021-09-27,69.5
E06000023,"Bristol, City of",ltla,2021-09-26,69.4
E06000023,"Bristol, City of",ltla,2021-09-25,69.3
E06000023,"Bristol, City of",ltla,2021-09-24,69.2
E06000023,"Bristol, City of",ltla,2021-09-23,69.1
E06000023,"Bristol, City of",ltla,2021-09-22,69.0
E06000023,"Bristol, City of",ltla,2021-09-21,68.9
E06000023,"Bristol, City of",ltla,2021-09-20,68.7
E06000023,"Bristol, City of",ltla,2021-09-19,68.6
E06000023,"Bristol, City of",ltla,2021-09-18,68.5
E06000023,"Bristol, City of",ltla,2021-09-17,68.3
E06000023,"Bristol, City of",ltla,2021-09-16,68.2
E06000023,"Bristol, City of",ltla,2021-09-15,68.1
E06000023,"Bristol, City of",ltla,2021-09-14,67.9
E06000023,"Bristol, City of",ltla,2021-09-13,67.8
E06000023,"Bristol, City of",ltla,2021-09-12,67.6
E06000023,"Bristol, City of",ltla,2021-09-11,67.4
E06000023,"Bristol, City of",ltla,2021-09-10,67.1
E06000023,"Bristol, City of",ltla,2021-09-09,66.9
E06000023,"Bristol, City of",ltla,2021-09-08,66.7
E06000023,"Bristol, City of",ltla,2021-09-07,66.4
E06000023,"Bristol, City of",ltla,2021-09-06,66.1
E06000023,"Bristol, City of",ltla,2021-09-05,65.9
E06000023,"Bristol, City of",ltla,2021-09-04,65.8
E06000023,"Bristol, City of",ltla,2021-09-03,65.4
E06000023,"Bristol, City of",ltla,2021-09-02,65.1
E06000023,"Bristol, City of",ltla,2021-09-01,64.8
E06000023,"Bristol, City of",ltla,2021-08-31,64.4
E06000023,"Bristol, City of",ltla,2021-08-30,64.1
E06000023,"Bristol, City of",ltla,2021-08-29,63.9
E06000023,"Bristol, City of",ltla,2021-08-28,63.7
E06000023,"Bristol, City of",ltla,2021-08-27,63.3
E06000023,"Bristol, City of",ltla,2021-08-26,62.9
E06000023,"Bristol, City of",ltla,2021-08-25,62.5
E06000023,"Bristol, City of",ltla,2021-08-24,62.0
E06000023,"Bristol, City of",ltla,2021-08-23,61.5
E06000023,"Bristol, City of",ltla,2021-08-22,61.1
E06000023,"Bristol, City of",ltla,2021-08-21,60.8
E06000023,"Bristol, City of",ltla,2021-08-20,60.3
E06000023,"Bristol, City of",ltla,2021-08-19,59.9
E06000023,"Bristol, City of",ltla,2021-08-18,59.5
E06000023,"Bristol, City of",ltla,2021-08-17,59.1
E06000023,"Bristol, City of",ltla,2021-08-16,58.8
E06000023,"Bristol, City of",ltla,2021-08-15,58.4
E06000023,"Bristol, City of",ltla,2021-08-14,58.3
E06000023,"Bristol, City of",ltla,2021-08-13,57.7
E06000023,"Bristol, City of",ltla,2021-08-12,57.1
E06000023,"Bristol, City of",ltla,2021-08-11,56.7
E06000023,"Bristol, City of",ltla,2021-08-10,56.0
E06000023,"Bristol, City of",ltla,2021-08-09,55.6
E06000023,"Bristol, City of",ltla,2021-08-08,55.2
E06000023,"Bristol, City of",ltla,2021-08-07,55.1
E06000023,"Bristol, City of",ltla,2021-08-06,54.2
E06000023,"Bristol, City of",ltla,2021-08-05,53.7
E06000023,"Bristol, City of",ltla,2021-08-04,53.4
E06000023,"Bristol, City of",ltla,2021-08-03,53.0
E06000023,"Bristol, City of",ltla,2021-08-02,52.7
E06000023,"Bristol, City of",ltla,2021-08-01,52.5
E06000023,"Bristol, City of",ltla,2021-07-31,52.3
E06000023,"Bristol, City of",ltla,2021-07-30,51.6
E06000023,"Bristol, City of",ltla,2021-07-29,51.3
E06000023,"Bristol, City of",ltla,2021-07-28,51.0
E06000023,"Bristol, City of",ltla,2021-07-27,50.6
E06000023,"Bristol, City of",ltla,2021-07-26,50.3
E06000023,"Bristol, City of",ltla,2021-07-25,50.0
E06000023,"Bristol, City of",ltla,2021-07-24,49.8
E06000023,"Bristol, City of",ltla,2021-07-23,49.4
E06000023,"Bristol, City of",ltla,2021-07-22,49.1
E06000023,"Bristol, City of",ltla,2021-07-21,48.9
E06000023,"Bristol, City of",ltla,2021-07-20,48.5
E06000023,"Bristol, City of",ltla,2021-07-19,48.2
E06000023,"Bristol, City of",ltla,2021-07-18,48.0
E06000023,"Bristol, City of",ltla,2021-07-17,47.9
E06000023,"Bristol, City of",ltla,2021-07-16,47.3
E06000023,"Bristol, City of",ltla,2021-07-15,47.0
E06000023,"Bristol, City of",ltla,2021-07-14,46.8
E06000023,"Bristol, City of",ltla,2021-07-13,46.3
E06000023,"Bristol, City of",ltla,2021-07-12,46.1
E06000023,"Bristol, City of",ltla,2021-07-11,46.0
E06000023,"Bristol, City of",ltla,2021-07-10,45.9
E06000023,"Bristol, City of",ltla,2021-07-09,45.3
E06000023,"Bristol, City of",ltla,2021-07-08,45.1
E06000023,"Bristol, City of",ltla,2021-07-07,44.9
E06000023,"Bristol, City of",ltla,2021-07-06,44.7
E06000023,"Bristol, City of",ltla,2021-07-05,44.5
E06000023,"Bristol, City of",ltla,2021-07-04,44.3
E06000023,"Bristol, City of",ltla,2021-07-03,44.2
E06000023,"Bristol, City of",ltla,2021-07-02,43.8
E06000023,"Bristol, City of",ltla,2021-07-01,43.4
E06000023,"Bristol, City of",ltla,2021-06-30,43.2
E06000023,"Bristol, City of",ltla,2021-06-29,42.9
E06000023,"Bristol, City of",ltla,2021-06-28,42.7
E06000023,"Bristol, City of",ltla,2021-06-27,42.6
E06000023,"Bristol, City of",ltla,2021-06-26,42.5
E06000023,"Bristol, City of",ltla,2021-06-25,42.3
E06000023,"Bristol, City of",ltla,2021-06-24,42.2
E06000023,"Bristol, City of",ltla,2021-06-23,42.0
E06000023,"Bristol, City of",ltla,2021-06-22,41.8
E06000023,"Bristol, City of",ltla,2021-06-21,41.6
E06000023,"Bristol, City of",ltla,2021-06-20,41.5
E06000023,"Bristol, City of",ltla,2021-06-19,41.5
E06000023,"Bristol, City of",ltla,2021-06-18,41.1
E06000023,"Bristol, City of",ltla,2021-06-17,41.0
E06000023,"Bristol, City of",ltla,2021-06-16,40.8
E06000023,"Bristol, City of",ltla,2021-06-15,40.5
E06000023,"Bristol, City of",ltla,2021-06-14,40.3
E06000023,"Bristol, City of",ltla,2021-06-13,40.1
E06000023,"Bristol, City of",ltla,2021-06-12,40.0
E06000023,"Bristol, City of",ltla,2021-06-11,39.6
E06000023,"Bristol, City of",ltla,2021-06-10,39.3
E06000023,"Bristol, City of",ltla,2021-06-09,38.9
E06000023,"Bristol, City of",ltla,2021-06-08,38.3
E06000023,"Bristol, City of",ltla,2021-06-07,38.0
E06000023,"Bristol, City of",ltla,2021-06-06,37.6
E06000023,"Bristol, City of",ltla,2021-06-05,37.4
E06000023,"Bristol, City of",ltla,2021-06-04,36.6
E06000023,"Bristol, City of",ltla,2021-06-03,36.0
E06000023,"Bristol, City of",ltla,2021-06-02,35.6
E06000023,"Bristol, City of",ltla,2021-06-01,35.0
E06000023,"Bristol, City of",ltla,2021-05-31,34.5
E06000023,"Bristol, City of",ltla,2021-05-30,34.4
E06000023,"Bristol, City of",ltla,2021-05-29,34.3
E06000023,"Bristol, City of",ltla,2021-05-28,33.6
E06000023,"Bristol, City of",ltla,2021-05-27,32.9
E06000023,"Bristol, City of",ltla,2021-05-26,32.3
E06000023,"Bristol, City of",ltla,2021-05-25,31.4
E06000023,"Bristol, City of",ltla,2021-05-24,30.7
E06000023,"Bristol, City of",ltla,2021-05-23,30.3
E06000023,"Bristol, City of",ltla,2021-05-22,30.2
E06000023,"Bristol, City of",ltla,2021-05-21,28.9
E06000023,"Bristol, City of",ltla,2021-05-20,27.9
E06000023,"Bristol, City of",ltla,2021-05-19,27.6
E06000023,"Bristol, City of",ltla,2021-05-18,26.8
E06000023,"Bristol, City of",ltla,2021-05-17,26.4
E06000023,"Bristol, City of",ltla,2021-05-16,26.1
E06000023,"Bristol, City of",ltla,2021-05-15,26.0
E06000023,"Bristol, City of",ltla,2021-05-14,25.1
E06000023,"Bristol, City of",ltla,2021-05-13,24.5
E06000023,"Bristol, City of",ltla,2021-05-12,23.9
E06000023,"Bristol, City of",ltla,2021-05-11,23.3
E06000023,"Bristol, City of",ltla,2021-05-10,23.0
E06000023,"Bristol, City of",ltla,2021-05-09,22.8
E06000023,"Bristol, City of",ltla,2021-05-08,22.7
E06000023,"Bristol, City of",ltla,2021-05-07,21.9
E06000023,"Bristol, City of",ltla,2021-05-06,21.5
E06000023,"Bristol, City of",ltla,2021-05-05,21.1
E06000023,"Bristol, City of",ltla,2021-05-04,20.5
E06000023,"Bristol, City of",ltla,2021-05-03,20.2
E06000023,"Bristol, City of",ltla,2021-05-02,20.1
E06000023,"Bristol, City of",ltla,2021-05-01,20.0
E06000023,"Bristol, City of",ltla,2021-04-30,19.3
E06000023,"Bristol, City of",ltla,2021-04-29,18.9
E06000023,"Bristol, City of",ltla,2021-04-28,18.5
E06000023,"Bristol, City of",ltla,2021-04-27,17.7
E06000023,"Bristol, City of",ltla,2021-04-26,17.5
E06000023,"Bristol, City of",ltla,2021-04-25,17.1
E06000023,"Bristol, City of",ltla,2021-04-24,17.0
E06000023,"Bristol, City of",ltla,2021-04-23,15.9
E06000023,"Bristol, City of",ltla,2021-04-22,15.3
E06000023,"Bristol, City of",ltla,2021-04-21,14.9
E06000023,"Bristol, City of",ltla,2021-04-20,14.3
E06000023,"Bristol, City of",ltla,2021-04-19,14.0
E06000023,"Bristol, City of",ltla,2021-04-18,13.9
E06000023,"Bristol, City of",ltla,2021-04-17,13.8
E06000023,"Bristol, City of",ltla,2021-04-16,12.6
E06000023,"Bristol, City of",ltla,2021-04-15,11.9
E06000023,"Bristol, City of",ltla,2021-04-14,11.7
E06000023,"Bristol, City of",ltla,2021-04-13,11.1
E06000023,"Bristol, City of",ltla,2021-04-12,10.9
E06000023,"Bristol, City of",ltla,2021-04-11,10.6
E06000023,"Bristol, City of",ltla,2021-04-10,10.4
E06000023,"Bristol, City of",ltla,2021-04-09,9.6
E06000023,"Bristol, City of",ltla,2021-04-08,8.9
E06000023,"Bristol, City of",ltla,2021-04-07,8.4
E06000023,"Bristol, City of",ltla,2021-04-06,7.7
E06000023,"Bristol, City of",ltla,2021-04-05,7.5
E06000023,"Bristol, City of",ltla,2021-04-04,7.4
E06000023,"Bristol, City of",ltla,2021-04-03,7.3
E06000023,"Bristol, City of",ltla,2021-04-02,7.0
E06000023,"Bristol, City of",ltla,2021-04-01,6.5
E06000023,"Bristol, City of",ltla,2021-03-31,6.1
E06000023,"Bristol, City of",ltla,2021-03-30,5.7
E06000023,"Bristol, City of",ltla,2021-03-29,5.4
E06000023,"Bristol, City of",ltla,2021-03-28,5.3
E06000023,"Bristol, City of",ltla,2021-03-27,5.1
E06000023,"Bristol, City of",ltla,2021-03-26,4.5
E06000023,"Bristol, City of",ltla,2021-03-25,3.9
E06000023,"Bristol, City of",ltla,2021-03-24,3.7
E06000023,"Bristol, City of",ltla,2021-03-23,3.5
E06000023,"Bristol, City of",ltla,2021-03-22,3.3
E06000023,"Bristol, City of",ltla,2021-03-21,3.2
E06000023,"Bristol, City of",ltla,2021-03-20,3.1
E06000023,"Bristol, City of",ltla,2021-03-19,3.0
E06000023,"Bristol, City of",ltla,2021-03-18,2.8
E06000023,"Bristol, City of",ltla,2021-03-17,2.7
E06000023,"Bristol, City of",ltla,2021-03-16,2.6
E06000023,"Bristol, City of",ltla,2021-03-15,2.5
E06000023,"Bristol, City of",ltla,2021-03-14,2.4
E06000023,"Bristol, City of",ltla,2021-03-13,2.3
E06000023,"Bristol, City of",ltla,2021-03-12,2.1
E06000023,"Bristol, City of",ltla,2021-03-11,2.0
E06000023,"Bristol, City of",ltla,2021-03-10,2.0
E06000023,"Bristol, City of",ltla,2021-03-09,1.9
E06000023,"Bristol, City of",ltla,2021-03-08,1.8
E06000023,"Bristol, City of",ltla,2021-03-07,1.8
E06000023,"Bristol, City of",ltla,2021-03-06,1.8
E06000023,"Bristol, City of",ltla,2021-03-05,1.7
E06000023,"Bristol, City of",ltla,2021-03-04,1.6
E06000023,"Bristol, City of",ltla,2021-03-03,1.3
E06000023,"Bristol, City of",ltla,2021-03-02,1.3
E06000023,"Bristol, City of",ltla,2021-03-01,1.2
E06000023,"Bristol, City of",ltla,2021-02-28,1.2
E06000023,"Bristol, City of",ltla,2021-02-27,1.2
E06000023,"Bristol, City of",ltla,2021-02-26,1.1
E06000023,"Bristol, City of",ltla,2021-02-25,1.1
E06000023,"Bristol, City of",ltla,2021-02-24,1.1
E06000023,"Bristol, City of",ltla,2021-02-23,1.0
E06000023,"Bristol, City of",ltla,2021-02-22,1.0
E06000023,"Bristol, City of",ltla,2021-02-21,0.9
E06000023,"Bristol, City of",ltla,2021-02-20,0.9
E06000023,"Bristol, City of",ltla,2021-02-19,0.9
E06000023,"Bristol, City of",ltla,2021-02-18,0.9
E06000023,"Bristol, City of",ltla,2021-02-17,0.9
E06000023,"Bristol, City of",ltla,2021-02-16,0.9
E06000023,"Bristol, City of",ltla,2021-02-15,0.9
E06000023,"Bristol, City of",ltla,2021-02-14,0.9
E06000023,"Bristol, City of",ltla,2021-02-13,0.9
E06000023,"Bristol, City of",ltla,2021-02-12,0.9
E06000023,"Bristol, City of",ltla,2021-02-11,0.9
E06000023,"Bristol, City of",ltla,2021-02-10,0.9
E06000023,"Bristol, City of",ltla,2021-02-09,0.9
E06000023,"Bristol, City of",ltla,2021-02-08,0.9
E06000023,"Bristol, City of",ltla,2021-02-07,0.9
E06000023,"Bristol, City of",ltla,2021-02-06,0.9
E06000023,"Bristol, City of",ltla,2021-02-05,0.9
E06000023,"Bristol, City of",ltla,2021-02-04,0.9
E06000023,"Bristol, City of",ltla,2021-02-03,0.9
E06000023,"Bristol, City of",ltla,2021-02-02,0.9
E06000023,"Bristol, City of",ltla,2021-02-01,0.9
E06000023,"Bristol, City of",ltla,2021-01-31,0.9
E06000023,"Bristol, City of",ltla,2021-01-30,0.9
E06000023,"Bristol, City of",ltla,2021-01-29,0.9
E06000023,"Bristol, City of",ltla,2021-01-28,0.9
E06000023,"Bristol, City of",ltla,2021-01-27,0.9
E06000023,"Bristol, City of",ltla,2021-01-26,0.9
E06000023,"Bristol, City of",ltla,2021-01-25,0.9
E06000023,"Bristol, City of",ltla,2021-01-24,0.9
E06000023,"Bristol, City of",ltla,2021-01-23,0.9
E06000023,"Bristol, City of",ltla,2021-01-22,0.9
E06000023,"Bristol, City of",ltla,2021-01-21,0.9
E06000023,"Bristol, City of",ltla,2021-01-20,0.9
E06000023,"Bristol, City of",ltla,2021-01-19,0.9
E06000023,"Bristol, City of",ltla,2021-01-18,0.9
E06000023,"Bristol, City of",ltla,2021-01-17,0.9
E06000023,"Bristol, City of",ltla,2021-01-16,0.9
E06000023,"Bristol, City of",ltla,2021-01-15,0.9
E06000023,"Bristol, City of",ltla,2021-01-14,0.9
E06000023,"Bristol, City of",ltla,2021-01-13,0.9
E06000023,"Bristol, City of",ltla,2021-01-12,0.9
E06000023,"Bristol, City of",ltla,2021-01-11,0.8
E06000023,"Bristol, City of",ltla,2021-01-10,0.8
E06000023,"Bristol, City of",ltla,2021-01-09,0.6
E06000023,"Bristol, City of",ltla,2021-01-08,0.3
E06000023,"Bristol, City of",ltla,2021-01-07,0.2
E06000023,"Bristol, City of",ltla,2021-01-06,0.2
